Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
DSJA,0,0,0.00,0,0.00,0.00,0,0
EAOA,0,0,0.00,0,0.00,0.00,0,0
EAOK,0,0,0.00,0,0.00,0.00,0,0
EAOM,0,0,0.00,0,0.00,0.00,0,0
EOPS,0,0,0.00,0,0.00,0.00,0,0
ESCR,0,0,0.00,0,0.00,0.00,0,0
ESHY,0,0,0.00,0,0.00,0.00,0,0
FDEM,0,0,0.00,0,0.00,0.00,0,0
FEBZ,0,0,0.00,0,0.00,0.00,0,0
FLTN,0,0,0.00,0,0.00,0.00,0,0
FOMO,0,0,0.00,0,0.00,0.00,0,0
FPAG,0,0,0.00,0,0.00,0.00,0,0
GPAL,0,0,0.00,0,0.00,0.00,0,0
HCRB,0,0,0.00,0,0.00,0.00,0,0
HEET,0,0,0.00,0,0.00,0.00,0,0
HSUN,0,0,0.00,0,0.00,0.00,0,0
HYBL,0,0,0.00,0,0.00,0.00,0,0
HYIN,0,0,0.00,0,0.00,0.00,0,0
IBHF,0,0,0.00,0,0.00,0.00,0,0
IBHH,0,0,0.00,0,0.00,0.00,0,0
IBHI,0,0,0.00,0,0.00,0.00,0,0
IEIH,0,0,0.00,0,0.00,0.00,0,0
IMLP,0,0,0.00,0,0.00,0.00,0,0
IPPP,0,0,0.00,0,0.00,0.00,0,0
IVLC,0,0,0.00,0,0.00,0.00,0,0
JANZ,0,0,0.00,0,0.00,0.00,0,0
JULZ,0,0,0.00,0,0.00,0.00,0,0
JUNZ,0,0,0.00,0,0.00,0.00,0,0
MARZ,0,0,0.00,0,0.00,0.00,0,0
MAYZ,0,0,0.00,0,0.00,0.00,0,0
MBNE,0,0,0.00,0,0.00,0.00,0,0
MDEV,0,0,0.00,0,0.00,0.00,0,0
MIG,0,0,0.00,0,0.00,0.00,0,0
MINN,0,0,0.00,0,0.00,0.00,0,0
MOTE,0,0,0.00,0,0.00,0.00,0,0
MSTQ,0,0,0.00,0,0.00,0.00,0,0
PBDM,0,0,0.00,0,0.00,0.00,0,0
PLTL,0,0,0.00,0,0.00,0.00,0,0
